题记序号,题记名称,时间,公元纪年,地点,窟位,造像者人数,性别,所造佛像名称,出资者,造像者身份表述,阶层,社邑组织,实践行为（一级编码）,实践行为（二级编码）,祈愿内容（一级编码）,祈愿内容（二级编码）,造像原因（一级编码）,造像原因（二级编码）,关联历史事件,经文,妆造类型,宗教类型,宗派倾向(主宗派倾向；副宗派倾向）,备注
382,观音岩王造像记,唐元和十五年（820 年）,820,四川广元蟠龙镇观音岩,18 号龛,[不详],[不详],一佛二弟子二菩萨二力士,王□□、录事等,邑众、录事,平民合众(社邑组织),社邑,纪念庆赞、,设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,净土,
383,观音岩含供养人造像记,唐元和十三年（818 年）,818,四川广元蟠龙镇观音岩,24 号龛,[不详],[不详],一佛二菩萨二供养人,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
384,观音岩造观世音像记,唐元和十三年（818 年）,818,四川广元蟠龙镇观音岩,25 号龛,1,未知（题记模糊）,救苦观世音菩萨,[不详],佛弟子,虔诚弟子,非社邑,造像制作、纪念庆赞、,发心造像、设斋表赞,现世福报,家庭和睦 (合家大小平安),祈福禳灾,护宅安镇,事件未提,[不详],新造,佛教,观音体系,
385,观音岩永和公主造像记,唐至德元年（756 年）,756,四川广元蟠龙镇观音岩,40 号龛,1,女,一佛二菩萨,永和公主,公主,皇室宗亲,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
386,观音岩杨宣造药师地藏观音像记,唐大和七年（833 年）,833,四川广元蟠龙镇观音岩,43 号龛,1,男,药师、地藏、观音三尊,杨宣,利州都虞侯兼押衙,在职官员,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,药师体系；地藏体系；观音体系,
387,观音岩杨宣造文殊像记,唐大和七年（833 年）,833,四川广元蟠龙镇观音岩,45 号龛,1,男,骑狮文殊菩萨像,杨宣,□州都虞侯兼神衙,在职官员,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
388,观音岩含天王造像记,唐天宝十二载（753 年）,753,四川广元蟠龙镇观音岩,46 号龛,[不详],[不详],一佛二弟子二菩萨二力士二天王,[不详],将士、佛弟子,混合群体(在职官员、虔诚弟子),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,地方暴力(集北催锋破敌),[不详],新造,佛教,无法判定,
389,观音岩范元逸造像记,唐天宝十载（751 年）,751,四川广元蟠龙镇观音岩,47 号龛（或 32 号龛）,3,3 男,一佛二弟子二菩萨二力士一天王四男供养人二女供养人,范元逸,朝议郎、行内侍省掖庭令、上柱国、云南招慰讨兵马处置使,封爵贵族,非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、立碑题铭,国邦安宁,国运太平,祈福禳灾,护国兴邦、超度荐亡,[不详],[不详],新造,佛教,无法判定,
390,观音岩造像记,唐天宝十四载（755 年）,755,四川广元蟠龙镇观音岩,101 号龛,[不详],[不详],一佛二弟子二菩萨,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
391,观音岩含力士造像记,唐天宝十四载（755 年）,755,四川广元蟠龙镇观音岩,102 号龛,[不详],[不详],一佛二弟子二菩萨二力士,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
392,巴中石窟南龛杨正安造像记,唐代,618-907,四川省巴中市巴中石窟南龛,037 号,1,男,一佛二弟子二菩萨二力士二供养菩萨,杨正安等,在街弟子、信众,平民合众(临时联合),非社邑,信息不详、,信息不详,信息不详,信息不详,超度荐亡,亡亲超荐、修复缮完,事件未提,[不详],重妆,佛教,无法判定,
393,巴中石窟南龛赵清治造像记,唐代,618-907,四川省巴中市巴中石窟南龛,033 号,4,4 男,四伎乐、三飞天、一供养人、一佛二菩萨、五十二身听法菩萨,赵清治、赵淳、赵珍,信众、居士,平民合众(家庭合署),非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
394,巴中石窟南龛党守业造像记,唐开元二十八年（740 年）,740,四川省巴中市巴中石窟南龛,069 号,1,男,一佛二弟子二菩萨、二天王二力士、十一身供养人,党守业,乡贡明经、化城县尉,在职官员,非社邑,造像制作、造像制作、庄严修饰、纪念庆赞、,发心造像、镌刻雕造、妆銮彩绘、设斋表赞,超度往生,往生净土 (早生净土),超度荐亡,亡亲超荐,家庭变故(亡考妣),[不详],新造,佛教,净土,
395,巴中石窟南龛李思弘造像记-1,唐文德元年（888 年）,888,四川省巴中市巴中石窟南龛,069 号,1,男,一佛二弟子二菩萨、二天王二力士、十一身供养人,李思弘,信众,在职官员,非社邑,造像制作、,复新重修,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,另有版本
396,巴中石窟南龛李思弘造像记-2,唐代,618-907,四川省巴中市巴中石窟南龛,071 号,1,男,[不详],李思弘,信众,在职官员,非社邑,造像制作、,复新重修,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,另有版本
397,巴中石窟南龛李思弘造像记-3,唐代,618-907,四川省巴中市巴中石窟南龛,077 号,1,男,一佛二弟子二菩萨、二天王二力士、十一身供养人,李思弘,信众,在职官员,非社邑,造像制作、,复新重修,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
398,巴中石窟南龛李思弘勾氏五娘造像记,唐代,618-907,四川省巴中市巴中石窟南龛,077 号,8,3 男、5 女,一佛二弟子二菩萨、二天王二力士、十一身供养人,李思弘、勾氏五娘、成双、保寿等,信众、家属,混合群体(在职官员、虔诚弟子),非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
399,巴中石窟南龛刘安造像记,南宋绍兴二十六年（1156 年）,1156,四川省巴中市巴中石窟南龛,077 号,2,1 男、1 女,一佛二弟子二菩萨、二天王二力士、十一身供养人,刘安、张氏、刘全,军员、信女,平民合众(家庭合署),非社邑,庄严修饰、供养施舍、纪念庆赞、,重装修饰、看经念诵、设斋表赞,信息不详,信息不详,修复缮完,修复圣像 (重装),事件未提,[不详],重妆,佛教,无法判定,
400,巴中石窟南龛含二狮造像记,唐开元年间,713-741,四川省巴中市巴中石窟南龛,083 号,[不详],未知（题记模糊）,三佛二狮子、七身供养人,[不详],[不详],[不详],非社邑,造像制作、,发心造像,信息不详,信息不详,修复缮完,重修古迹,事件未提,[不详],新造,佛教,无法判定,
401,巴中石窟南龛含天王造像记,唐天宝十年（751 年）,751,四川省巴中市巴中石窟南龛,089 号,[不详],[不详],多天王、力士、菩萨、飞天等,[不详],[不详],[不详],非社邑,造像制作、造像制作、,造塔建幢、镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,佛顶尊胜陀罗尼,新造,佛教,密教,
402,李朝兴造像记,唐代,618-907,[不详],四川省巴中市巴中石窟南龛 064 号,1,男,内龛十五尊（正壁三佛、两侧四弟子二菩萨等）、龛外二力士,李朝兴,清信弟子,虔诚弟子,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
403,巴中石窟南龛李思弘造观音地藏像记,唐乾元二年（759 年）,759,四川省巴中市巴中石窟南龛,080 号,2,2 男,一观音、一地藏,李思弘、赵□□,信众,混合群体(在职官员、虔诚弟子),非社邑,庄严修饰、纪念庆赞、,妆銮彩绘、立碑题铭,信息不详,信息不详,修复缮完,修复圣像 (报粧),事件未提,[不详],重妆,佛教,无法判定,
404,杨仙造像记,唐贞元二年,786,[不详],四川省巴中市巴中石窟南龛 106 号,[不详],[不详],药师琉璃光像、释迦文像、阿难、迦叶、观音、势至、二金刚等,杨仙等,佛弟子,平民合众,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,超度往生,往生净土 (往生者),超度荐亡,亡亲超荐、普度众生,事件未提,[不详],新造,佛教,药师体系；观音体系,
405,巴中石窟南龛造六臂如意轮观音像记,唐咸通年间,860-874,四川省巴中市巴中石窟南龛,016 号,1,未知（题记模糊）,一六臂如意轮观音、二天王,[不详],信众,虔诚弟子,非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,修复缮完,修复圣像 (装彩),事件未提,[不详],重妆,佛教,"密教,观音体系",
406,李保寿造像记,未知,不详,[不详],四川省巴中市巴中石窟南龛 065 号,1,男,毗沙门天王像,李保寿,信众,虔诚弟子,非社邑,供养施舍、,设斋供养,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,密教,
407,巴中石窟南龛赵行同造像记,唐光启三年（887 年）,887,四川省巴中市巴中石窟南龛,103 号,2,2 男,一佛二力士二供养小人、一飞天,赵行同、辛目,镌石人、饭人,商贾匠人,非社邑,纪念庆赞、,立碑题铭,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,密教,
408,净清徐鸣造像记,不详,不详,[不详],四川省巴中市巴中石窟南龛 103 号,[不详],[不详],一佛二力士二供养小人、一飞天,净清、徐鸣、余民□等,信众,平民合众,非社邑,寺院建设、庄严修饰、,建寺创殿、重装修饰,信息不详,信息不详,修复缮完,重修古迹、修复圣象（重装）,事件未提,[不详],重修 + 重妆,佛教,无法判定,
409,净清辛世华造像记,不详,不详,[不详],四川省巴中市巴中石窟南龛 103 号,8,7 男、1 女,一佛二力士二供养小人、一飞天,净清、辛世华、辛瑞真等,信众、家属,平民合众(家庭合署),非社邑,寺院建设、庄严修饰、,建寺创殿、重装修饰,信息不详,信息不详,修复缮完,重修古迹、修复圣象（重装）,事件未提,[不详],重修 + 重妆,佛教,无法判定,
410,水宁寺録事参军造像记,唐景龙三年（709 年）,709,四川省巴中市巴中区水宁寺镇水宁村水宁寺,21 号龛,1,未知（题记模糊）,三尊药师像、二力士,巴州始宁县改阆州録事参军,録事参军,在职官员,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
411,含立式天王造像记,晚于开元末,晚于 741,[不详],四川省巴中市巴中区水宁寺镇水宁村水宁寺 09 号龛,1,1 男、1 女,一佛二弟子二立式天王二力士,[不详],信众,虔诚弟子,非社邑,造像制作、造像制作、寺院建设、,发心造像、镌刻雕造、开窟凿洞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,药师体系,
412,旺苍佛子岩王伟造像记,唐天宝六年（747 年）,747,地平县旺苍佛子岩,3 号龛（或 2 号龛）,1,男,释迦牟尼像,王伟,地平县员外尉,在职官员,非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、立碑题铭,现世福报,福寿康宁 (愿早平安归),祈福禳灾,家族昌盛、消灾免难,事件未提(谪官),[不详],新造,佛教,无法判定,
413,阳岳寺造菩萨像记,不详,不详,四川广元苍溪阳岳寺,1 号龛,[不详],[不详],菩萨一身,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
414,阳岳寺王戒度造像记,不详,不详,四川广元苍溪阳岳寺,2 号龛,1,男,阿弥陀佛,王戒度,崇法弟子,虔诚弟子,非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、立碑题铭,信息不详,信息不详,报恩酬德,报佛恩 修证悟道->发心修行,事件未提,[不详],新造,佛教,无法判定,
415,阳岳寺庆□造像记,唐天宝十三年（754 年）,754,四川省广元市苍溪县三川镇阳岳寺,5 号龛,[不详],[不详],宝胜佛、南无宝集佛、大光明佛等十二类佛像,庆□、□娘、男□□等,信众,平民合众,非社邑,纪念庆赞、,设斋表赞,信息不详,信息不详,信息不详,信息不详 ,事件未提,宝集佛相关经文(南无宝集佛、宝胜佛、大光明佛、宝声如来、燃灯火佛、得大无畏佛、无边无垢佛、无垢光明佛、卢舍那光明佛、卢舍那镜像佛、不动佛),新造,佛教,净土,
416,平杨府君阙造像记,不详,不详,四川省绵阳市区平杨府君阙造像,15 号龛,1,男,无量寿佛,[不详],佛弟子,虔诚弟子,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,超度往生,亡亲超荐 (为梁主至尊敬),超度荐亡,亡亲超荐 祈福禳灾->家族昌盛,事件未提,[不详],新造,佛教,无法判定,
417,平杨府君阙许善造像记,梁大通三年（529 年）,529,四川省绵阳市区平杨府君阙造像,17 号龛,2,2 男,观音大士、佛像,许善、道洪,佛弟子,虔诚弟子,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,超度往生,亡亲超荐 (为七世父),超度荐亡,亡亲超荐 祈福禳灾->家族昌盛,事件未提,[不详],新造,佛教,净土,
418,横梁子王佛愿造像记,唐贞观二十一年（647 年）,647,四川省广元市剑阁县武连镇横梁子造像,2 号,1,男,释迦佛,王佛愿,佛弟子,虔诚弟子,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,超度往生,往生净土,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系,
419,横梁子任永乐造像记,不详,不详,四川省广元市剑阁县武连镇横梁子造像,4 号龛,1,男,一佛二弟子二菩萨,任永乐,[不详],[不详],非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
420,横梁子任玄荣造像记,唐贞观二十一年（647 年）,647,四川省广元市剑阁县武连镇横梁子造像,4 号龛（或 6 号龛）,1,男,一佛二弟子二菩萨,任玄荣,[不详],[不详],非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
421,横梁子王宝定造像记,唐贞观二十二年（648 年）；,648,四川省广元市剑阁县武连镇横梁子造像,15、16 号龛,1,男,二菩萨,王宝定,信众,虔诚弟子,非社邑,游观题咏、,游观题名,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,中秋节，月光菩萨圣诞
422,横梁子造像记,唐景云二年（711 年）,711,四川省广元市剑阁县武连镇横梁子造像,15、16 号龛,[不详],[不详],[不详],[不详],[不详],[不详],非社邑,游观题咏、,游观题名,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],[不详],佛教,无法判定,
423,横梁子任永乐杨穆造像记,[不详],不详,四川省广元市剑阁县武连镇横梁子造像,15、16 号龛,2,2男,二菩萨,任永乐、杨穆,信众,平民合众,非社邑,游观题咏、,游观题名,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
424,横梁子任永安造像记,[不详],不详,四川省广元市剑阁县武连镇横梁子造像,15、16 号龛,1,男,二菩萨,任永安、张剑,信众,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
425,卧龙山邓士琬造像记,唐贞观八年（634 年）,634,四川省绵阳市梓潼县卧龙山千佛崖,第 1 龛,38,男 33 人、女 5 人,阿弥陁佛、五十二菩薩,鄧士琬、鄧厚順、任八等,信众、书者、作龕镌字人,混合群体(商贾匠人、普通百姓),非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、立碑题铭,信息不详,信息不详,弘法传教,弘传佛法 祈福禳灾->普度众生,事件未提,[不详],新造,佛教,净土,另有版本
426,玉女泉黄法暾造像记,隋大业六年（610 年）,610,四川绵阳玉女泉,[不详],1,男,天尊像,黄法暾,三洞道士,虔诚弟子,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
427,鹤鸣山郑国造像记,唐大中十一年（857 年）,857,四川省广元市剑阁县普安镇鹤鸣山,4 号龛,1,男,长生保命天尊像,郑国,前剑州刺史、赐紫金鱼袋,封爵贵族,非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、立碑题铭,现世福报,福寿康宁 (长生保命),祈福禳灾,延寿增福,事件未提,[不详],新造,道教,无法判定,
428,圆觉洞孙侪造像记,南宋绍兴二十三年（1153 年）,1153,安岳石窟圆觉洞,11 号窟（或 7 号龛）,至少4人,3 男、1 女,净瓶观音像、菩萨、飞天、供养菩萨、供养人,孙侪、孙衍、孙衡、黄氏小寿娘,使州都孔目官、信众,混合群体(在职官员、普通百姓),非社邑,庄严修饰、特殊行为、纪念庆赞、,妆銮彩绘、剃度出家、立碑题铭,现世福报,福寿康宁 (祈寿年绵延),祈福禳灾,延寿增福,事件未提,[不详],重妆,佛教,无法判定,
429,圆觉洞含龙女造像记,宋代,960-1279,安岳石窟圆觉洞,7 号龛,[不详],未知（题记模糊）,飞天、龙女、供养人像,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
430,圆觉洞颜公辅造像记,宋代,960-1279,安岳石窟圆觉洞,9 号龛,3,男 3 人,佛像三尊、左右圆觉菩萨各六尊,顏公輔、楊文□,知安岳縣事、石匠,混合群体(在职官员、商贾匠人),非社邑,纪念庆赞、,立碑题铭,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,密教,
431,圆觉洞周显达造像记,宋代,960-1279,安岳石窟圆觉洞,9 号龛,1,男 4 人,佛像三尊、左右圆觉菩萨各六尊,周显達、王运□、周显□等,信众,平民合众,非社邑,庄严修饰、纪念庆赞、,重装修饰、立碑题铭,信息不详,信息不详,修复缮完,修复圣像 (装塑),事件未提,[不详],重修,佛教,密教,
432,圆觉洞冯倓造像记,南宋庆元四年（1198 年）,1198,安岳石窟圆觉洞,9 号龛,2,至少1男,圆觉洞佛像,元士馮倓、景一之,元士、书者,虔诚弟子,非社邑,寺院建设、造像制作、纪念庆赞、,开窟凿洞、镌刻雕造、立碑题铭,修证悟道,觉悟成佛 (圆觉),弘法传教,弘传佛法,事件未提,[不详],新造,佛教,无法判定,
433,王□□造像记,北宋,960-1127,[不详],安岳石窟圆觉洞 10 号龛,[不详],[不详],一佛像、一飞天、一弟子、两供养人,王□□、□提□,朝散大夫、军判,在职官员,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
434,徐耕造像记,南宋,1127-1279,[不详],安岳石窟圆觉洞 10 号龛,至少6人,男 5 人、女 1 人,释迦佛像,徐耕、徐尚坤、姚氏等,信善、家属,平民合众(家庭合署),非社邑,庄严修饰、纪念庆赞、,重装修饰、立碑题铭,国邦安宁,国泰民安 (皇王万岁，天下太平),祈福禳灾,护国兴邦,事件未提,[不详],重妆,佛教,禅宗,
435,造金峰长老像记,五代,907-960,[不详],安岳石窟圆觉洞 12 号龛,[不详],[不详],金峰长老真身,[不详],[不详],[不详],非社邑,特殊行为、,涅槃奉安,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,禅宗,
436,圆觉洞杨正卿造石觀音像记,北宋元符三年（1100 年）动工，大观二年（1108 年）完工,1100-1108,安岳石窟圆觉洞,14 号龛,6,男 3 人、女 3 人,石觀音像、供养人像,楊正卿、邹氏、馬氏等,功德主、信众,平民合众(家庭合署),非社邑,造像制作、造像制作、寺院建设、供养施舍、纪念庆赞、,发心造像、组织营建、开窟凿洞、法会供养、立碑题铭,信息不详,信息不详,报恩酬德,报先人恩 弘法传教,家庭变故(故父元善、故叔父元愛、故叔母胡氏),[不详],新造,佛教,观音体系,
437,杨景华造像记,不详,不详,[不详],安岳石窟圆觉洞 14 号龛,1,男 3 人、女 2 人,[不详],楊景華、陳氏、楊有無等,信善、家属,平民合众(家庭合署),非社邑,庄严修饰、,重装修饰,现世福报,福寿康宁 (祈平安),修复缮完,修复圣像 (重装),事件未提,[不详],重妆,佛教,"密教,观音体系",
438,圆觉洞赵义和造观音像记,大蜀天汉元年（917 年）,917,安岳石窟圆觉洞,22 号龛,1,男,救苦观音菩萨,趙義和,功德主、节度左厢先锋兵馬使等,封爵贵族,非社邑,造像制作、庄严修饰、,发心造像、妆銮彩绘,现世福报,家庭和睦 (阖门昌吉),祈福禳灾,消灾免难、家族昌盛,地方暴力(生遭兵火),[不详],新造,佛教,无法判定,
439,孙韬邺造像记,五代,907-960,[不详],安岳石窟圆觉洞 22 号龛,[不详],[不详],七佛,孫韬鄴,佛弟子,虔诚弟子,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
440,圆觉洞赵义和造三世佛像记,大蜀天汉元年（917 年）,917,安岳石窟圆觉洞,22 号龛,7,男 7 人,三世佛,赵義和、陳球、高山真等,社首、社户、节度左厢先锋兵馬使等,平民合众(社邑组织),社邑,庄严修饰、纪念庆赞、,重装修饰、立碑题铭,现世福报,消灾免难 (三灾不遇),修复缮完,修复圣像 (重装) 祈福禳灾->家族昌盛 护国兴邦,地方暴力(兵甲休息，规避兵祸),[不详],重妆,佛教,无法判定,
441,陀罗尼经造像记,五代,907-960,[不详],安岳石窟圆觉洞 33 号龛,[不详],[不详],石碑刻佛顶尊胜陀罗尼经,无明确出资者,[不详],[不详],非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,佛顶尊胜陀罗尼,新造,佛教,密教,
442,大悲观音造像记,五代,907-960,[不详],安岳石窟圆觉洞 37 号龛,[不详],[不详],大悲观音菩萨,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系,
443,圆觉洞南面山崖40号龛造像记,不详,不详,安岳石窟圆觉洞南面山崖40号龛,安岳石窟圆觉洞 40 号龛,[不详],[不详],[不详],[不详],信众,虔诚弟子,非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
444,圆觉洞造像记（一窟多人）-1,五代,907-960,安岳石窟圆觉洞南面山崖,40号龛,16（至475条，共16人）,男,十六罗汉像,郭行章等,弟子,混合群体(在职官员、普通百姓),非社邑,造像制作、造像制作、,发心造像、镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
445,圆觉洞造像记（一窟多人）-2,五代,907-960,安岳石窟圆觉洞南面山崖,40号龛,16（至475条，共16人）,男,十六罗汉像,张海全,弟子,混合群体(在职官员、普通百姓),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
446,圆觉洞造像记（一窟多人）-3,五代,907-960,安岳石窟圆觉洞南面山崖,40号龛,16（至475条，共16人）,男,十六罗汉像,杨孟汤,弟子,混合群体(在职官员、普通百姓),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
447,圆觉洞造像记（一窟多人）-4,五代,907-960,安岳石窟圆觉洞南面山崖,40号龛,16（至475条，共16人）,男,十六罗汉像,士和,不详,混合群体(在职官员、普通百姓),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
448,圆觉洞造像记（一窟多人）-5,五代,907-960,安岳石窟圆觉洞南面山崖,40号龛,16（至475条，共16人）,男,十六罗汉像,不详,不详,混合群体(在职官员、普通百姓),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
449,圆觉洞造像记（一窟多人）-6,五代,907-960,安岳石窟圆觉洞南面山崖,40号龛,16（至475条，共16人）,男,十六罗汉像,王□□,节度十将,混合群体(在职官员、普通百姓),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
450,圆觉洞造像记（一窟多人）-7,五代,907-960,安岳石窟圆觉洞南面山崖,40号龛,16（至475条，共16人）,男,十六罗汉像,张岌,弟子,混合群体(在职官员、普通百姓),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
451,圆觉洞造像记（一窟多人）-8,五代,907-960,安岳石窟圆觉洞南面山崖,40号龛,16（至475条，共16人）,男,十六罗汉像,不详,弟子,混合群体(在职官员、普通百姓),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
452,圆觉洞造像记（一窟多人）-9,五代,907-960,安岳石窟圆觉洞南面山崖,40号龛,16（至475条，共16人）,男,十六罗汉像,不详,白衣弟子,混合群体(在职官员、普通百姓),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
453,圆觉洞造像记（一窟多人）-10,五代,907-960,安岳石窟圆觉洞南面山崖,40号龛,16（至475条，共16人）,男,十六罗汉像,不详,弟子,混合群体(在职官员、普通百姓),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
454,势至菩萨造像记,五代,907-960,[不详],安岳石窟圆觉洞 40 号龛,[不详],[不详],势至菩萨,[不详],[不详],[不详],非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
455,杨姓造像记,五代,907-960,[不详],安岳石窟圆觉洞 40 号龛,1,女 1 人,观音像,杨姓女弟子,女弟子,虔诚弟子,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系,
456,杨简造像记,不详,不详,[不详],安岳石窟圆觉洞 56 号龛,1,[不详],十王像,杨简等三十□人,信众,平民合众,非社邑,庄严修饰、纪念庆赞、,重装修饰、立碑题铭,超度往生,亡亲超荐 (追往生),修复缮完,重修古迹,事件未提,[不详],重修,二教混合（佛道）,地藏体系,
457,聂姓造像记,五代,907-960,[不详],安岳石窟圆觉洞 58 号龛,1,男 1 人,现实人物像,聂姓官员,金紫光祿大夫、檢校司徒、普州刺史,封爵贵族,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
458,请命造像记,五代,907-960,安岳石窟圆觉洞南面山崖58号龛,安岳石窟圆觉洞 58 号龛,[不详],[不详],佛像,[不详],軍州官吏,在职官员,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
459,唐进造像记,五代,907-960,[不详],安岳石窟圆觉洞 60 号龛,5,男 5 人,判官像,王□、唐进、曹判官等,弟子、判官,混合群体(在职官员、普通百姓),非社邑,造像制作、庄严修饰、庄严修饰、,发心造像、妆銮彩绘、重装修饰,信息不详,信息不详,修复缮完,修复圣像 (重装),事件未提,[不详],新造 + 重妆,二教混合（佛道）,无法判定,
460,圆觉洞都勾中丞造像记,五代武成二年（909 年）,909,安岳石窟圆觉洞,69 号龛,5,男 3 人、女 2 人,一佛二菩萨、十六罗汉像,都勾中丞、門師體儒等,都勾中丞、僧人,混合群体(在职官员、僧尼个体、商贾匠人),非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、立碑题铭,现世福报,消灾免难 (灾难消除),祈福禳灾,消灾免难、家族昌盛,事件未提,[不详],新造,佛教,净土,
461,圆觉洞黎令宾造天尊像记,唐开元二十四年（736 年）,736,安岳石窟圆觉洞,71 号龛,1,男,天尊像,黎令賓,前州倉督、錄事、骑都尉勳官五品,在职官员,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,现世福报,福寿康宁 (愿平安),祈福禳灾,家族昌盛,事件未提,[不详],新造,道教,无法判定,
